index	Perturbed_Question1	Perturbed_Question2	label	Original_Question1	Original_Question2	original_label
152	 could HIV-positive have children?	 Would you marry HIV positive person?	1	 How could an HIV-positive person have children?	 Would you marry an HIV positive person?	0
153	 I'm going to be US President one day. What should I doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	0	 I'm going to be US President one day. What should I start doing now to achieve this?	 I'm 16 and I want to become the US president someday. What should I start doing?	1
154	 Why MS captaincy of & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	0	 Why MS Dhoni leave captaincy of ODI & T-20?	 Why does M.S Dhoni left captaincy for ODI and T20?	1
155	 are real or are they fake ?	 Do aliens exists?	0	 are aliens real or are they fake ?	 Do aliens exists?	1
156	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold?	0	 Where can I buy special flavor cupcake at Gold Coast?	 Where can I found different flavours for cupcakes at Gold Coast?	1
157	 Does marijuana cause?	 How can smoking marijuana give you lung cancer?	0	 Does marijuana cause cancer?	 How can smoking marijuana give you lung cancer?	1
158	 What are the procedures for becoming an?	 What is the procedure of becoming an actuary?	0	 What are the procedures for becoming an actuary?	 What is the procedure of becoming an actuary?	1
159	 What are some tips on making it through the job interview at?	 What are some tips it through the job interview process at?	1	 What are some tips on making it through the job interview process at Access National?	 What are some tips on making it through the job interview process at eBay?	0
160	 How do I find out what operating system I have on my?	 How do I find out what operating I have?	1	 How do I find out what operating system I have on my Macbook?	 How do I find out what operating system I have?	0
161	 How do smart and successful people control their?	 How can I control my emotions?	0	 How do smart and successful people control their emotions?	 How can I control my emotions?	1
162	 Can eating only for dinner lead to weight loss?	 Does eating dinner earlier in the evening help with weight loss?	1	 Can eating only fruit for dinner lead to weight loss?	 Does eating dinner earlier in the evening help with weight loss?	0
163	 How do I buy used car in India?	  used car should I buy in India?	1	 How do I buy used car in India?	 Which used car should I buy in India?	0
164	 Can i use in ps2 games like Gta San Andreass and others ?	 Nintendo 3DS: Can I just the games another, use in the console?	1	 Can i use mods in ps2 games like Gta San Andreass and others ?	 Nintendo 3DS: Can I just copy the downloaded games to another, bigger SD card for use in the same console?	0
165	 What the between the House of the Senate?	  both senators the whole, then which do I to vote? What determines?	1	 What is the difference between the House of Representatives and the Senate?	 If both senators represent the whole state, then which senator do I get to vote for? What determines this?	0
166	 What are the best tips for outlining/planning a novel?	 How do I best outline my?	0	 What are the best tips for outlining/planning a novel?	 How do I best outline my novel?	1
167	 What's the easiest way to make money from India?	 What is the best way to make money in india?	1	 What's the easiest way to make money online from India?	 What is the best way to make money in india?	0
168	 What will happen if Donald Trump became the president of America?	  will now that President-elect Donald Trump has won the election?	0	 What will happen if Donald Trump became the president of America?	 What will happen now that President-elect Donald Trump has won the election?	1
169	 Why don't people Captain America below the shield?	 Why did everyone have issue accepting Sam Wilson as the new Captain America, no one had an issue Bucky up the shield?	1	 Why don't people just shoot Captain America below the shield?	 Why did everyone have issue accepting Sam Wilson as the new Captain America, no one had an issue when Bucky took up the shield?	0
170	 Is available in Barcelona?	 Wher Barcelona?	1	 Is PlatePlay available in Barcelona?	 Wher is Barcelona?	0
171	 How do I increase in my body?	 Does quantity of blood in our body increase we grow?	1	 How do I increase sperms in my body?	 Does the quantity of blood in our body increase as we grow?	0
172	 When you get a do you feel?	 What do Quorans of moment when you get a, your mistakes?	1	 When you get a love spell done do you feel drained and tired?	 What do Quorans think of that moment when you finally get a notification and when you open it, it's Quora correcting your spelling mistakes?	0
173	 do countries of Bosnia and Herzegovina?	  are Bosnia and Herzegovina one country?	1	 What do other countries think of Bosnia and Herzegovina?	 Why are Bosnia and Herzegovina one country?	0
174	 What is one of the biggest misconceptions people have about you?	 What do you perceive to be the biggest misconception people have about? Why do you think this misconception exists?	0	 What is one of the biggest misconceptions people have about you?	 What do you perceive to be the biggest misconception people have about you? Why do you think this misconception exists?	1
175	 How can you of your Gmail accounts?	 How do I resolve Gmail issues?	1	 How can you find all of your Gmail accounts?	 How do I resolve Gmail account issues?	0
176	" ""What are the best slogans based on the theme """" India"""" or """"ाष्ट्रीया""""?"""	 What are of the best slogans written on India?	1	" ""What are the best slogans based on the theme """"United India"""" or """"राष्ट्रीय एकता""""?"""	 What are some of the best slogans written on trucks in India?	0
177	 is the to the Ender saga in?	  year is Ender's Game ( movie) set in?	1	 What is the best order to read the Ender saga in?	 What year is Ender's Game (2013 movie) set in?	0
178	 What average music?	 Can consider a music?	1	 What is the average BPM for these genres of music?	 Can we consider musicals a popular music genre?	0
179	 Which laptop would be better to buy now an AMD M330 or an i5 5200U AMD R5?	 Which laptop would be better the with i5 5200U and AMD R5 M330 2GB or i5 5200U with Nvidia 820M 2GB?	1	 Which laptop would be better to buy now an i5 6200U with AMD R5 M330 or an i5 5200U with AMD R5 M230?	 Which laptop would be better the one with i5 5200U and AMD R5 M330 2GB or i5 5200U with Nvidia 820M 2GB?	0
180	 Are Rolls-Royce to?	  is the criteria Rolls-Royce?	1	 Are Rolls-Royce cars given only to reputed personalities?	 What is the criteria to buy a Rolls-Royce?	0
181	 Economy is in better shape in 2016: Pakistan Bangladesh?	  Pakistan hate Bangladesh?	1	 Whose Economy is in better shape in 2016: Pakistan or Bangladesh?	 Does Pakistan hate Bangladesh?	0
182	 Steel: Which the best products manufacturing company in India?	 What is the steel production top 10 steel manufacturers in India?	1	 Steel: Which is the best industrial wire products manufacturing company in India?	 What is the steel production capacity of top 10 steel manufacturers individually in India?	0
183	 Why didn't Ned Stark bring more men to the Tower of Joy?	 Why did Ned Stark go to the Tower of Joy with so few men? Why bring a small guard (say 20 more men) of loyal and discreet northerners?	0	 Why didn't Ned Stark bring more men to the Tower of Joy?	 Why did Ned Stark go to the Tower of Joy with so few men? Why not bring a small guard (say 20 more men) of loyal and discreet northerners?	1
