index	Perturbed_Premise	Perturbed_Hypothesis	label	perturbed_label	Original_Premise	Original_Hypothesis
257	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	It is better to have much than to have none at all.	0	2	Something may be better than nothing . If trials compared low-cost therapy to the complete AZT regimen it's likely that the new regimens will prove less effective.	It is better to have little than to have none at all.
258	I thought working on Liddy's campaign would be better than working on Bob's.	I thought I would like working on Liddy's campaign the worst.	1	0	I thought working on Liddy's campaign would be better than working on Bob's.	I thought I would like working on Liddy's campaign the best.
259	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His discharge went down.	2	0	As of last week he charges $50 an hour minimum instead of $25 for the services of his yearling Northern Utah Legal Aid Foundation.	His charges went down.
260	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from formal to formal surveys.	0	1	"This testing of the marketplace may range from written or telephone contacts with knowledgeable federal and non-federal experts regarding similar or duplicate requirements and the results of any market test recently undertaken, to the more formal sources-sought announcements in pertinent publications (e.g."	This marketplace testing ranges from informal to formal surveys.
261	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit forget that by converting the Asian people to Christianity, it would help them to expand their territory. "	2	0	"They made little effort, despite the Jesuit presence in Asia, to convert local inhabitants to Christianity or to expand their territory into the interior."	"The Jesuit thought that by converting the Asian people to Christianity, it would help them to expand their territory. "
262	Another White House murder mystery and a chance to bash the genre.	This is a old angle at White House murder mystery.	1	2	Another White House murder mystery and a chance to bash the genre.	This is a new angle at White House murder mystery.
263	The two programs are currently housed in buildings about a block apart.	The two buildings are on synonym sides of the city.	2	0	The two programs are currently housed in buildings about a block apart.	The two buildings are on opposite sides of the city.
264	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is easily abolish but not often looked for.	2	0	"The long-sought, the mysterious, the elusive Jane Finn! "	Jane Finn is easily found but not often looked for.
265	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed manageable, keeping up with the buffaloes."	0	1	i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem	"It seemed difficult, keeping up with the buffaloes."
266	CHAPTER 6: HUMAN CAPITAL	Humans have lowercase.	1	0	CHAPTER 6: HUMAN CAPITAL	Humans have capital.
267	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's impossible to rehabilitate those types of people.	1	0	and those are the people that you know can you rehabilitate them the some of the ones that are you know perpetual	You wonder if it's possible to rehabilitate those types of people.
268	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for several times in the past is malfunction to handed out once a year.	0	2	"Although this award will now be handed out annually, Bailey was selected for several years of his commitment."	The award which Bailey was selected for several times in the past is going to handed out once a year.
269	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was unexciting when we first came here. 	1	0	and once we came here it was like gosh i just miss that because it really is exciting to be around people of different	It was exciting when we first came here. 
