	Perturbed_Premise	Perturbed_Hypothesis	label	Original_Premise	Original_Hypothesis	true_label	Perturbed_label	attack
76	"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters ."	""" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist waged for fabricating stories _ debuted well with $ 80,000 in eight theaters ."	1	"Shattered Glass , "" starring Hayden Christensen as Stephen Glass , debuted well with $ 80,000 in eight theaters ."	""" Shattered Glass "" _ starring Hayden Christensen as Stephen Glass , The New Republic journalist fired for fabricating stories _ debuted well with $ 80,000 in eight theaters ."	0	1	embedding
77	However , EPA officials gotta not confirm the 20 percent figure .	Only in the past few weeks have officials settled on the 20 percent figure .	1	However , EPA officials would not confirm the 20 percent figure .	Only in the past few weeks have officials settled on the 20 percent figure .	0	1	embedding
78	Some of the computers also are used to send spam e-mail messages to drummers up chiao to the sites .	Some are also used to send spam e-mail messages to boost traffic to the sites .	0	Some of the computers also are used to send spam e-mail messages to drum up traffic to the sites .	Some are also used to send spam e-mail messages to boost traffic to the sites .	1	0	embedding
79	The reports helped overcome investor jitters after the euro briefly hit an all-time high against the dollar Tuesday .	Stocks slipped at the commencement after the euro hit record highs against the dollar .	1	The reports helped overcome investor jitters after the euro briefly hit an all-time high against the dollar Tuesday .	Stocks slipped at the open after the euro hit record highs against the dollar .	0	1	embedding
80	If the MTA 's resort to a higher magistrates is successful , the $ 2 bus and subway base fare won 't be rolled back .	If the MTA 's appeal is successful , the $ 2 bus and subway base fare won 't change .	0	If the MTA 's appeal to a higher court is successful , the $ 2 bus and subway base fare won 't be rolled back .	If the MTA 's appeal is successful , the $ 2 bus and subway base fare won 't change .	1	0	embedding
81	Robert Walsh , 40 , remained in critical but stable condition Friday at Staten Island University Hospital 's north campus .	Duffy , also 40 , was in critical but stable condition at Staten Island University Hospital last nocturne .	0	Robert Walsh , 40 , remained in critical but stable condition Friday at Staten Island University Hospital 's north campus .	Walsh , also 40 , was in critical but stable condition at Staten Island University Hospital last night .	1	0	embedding
82	""" I don 't know if the person I 'm talking to now conceivably end up being someone else at another time that may not follow the rules , "" Parrish said ."	""" I don 't know whether the person I 'm talking to now may ceases up being someone else , "" Parrish said ."	1	""" I don 't know if the person I 'm talking to now may end up being someone else at another time that may not follow the rules , "" Parrish said ."	""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said ."	0	1	embedding
83	""" I think it 's going to be a close vote , but I think the grant proposal is going to win , "" McConnell said ."	""" I think it 's going to be a close vote , but I think the grant proposal 's disappear to victoire , "" said Sen. Mitch McConnell , assistant majority leader ."	0	""" I think it 's going to be a close vote , but I think the grant proposal is going to win , "" McConnell said ."	""" I think it 's going to be a close vote , but I think the grant proposal 's going to win , "" said Sen. Mitch McConnell , assistant majority leader ."	1	0	embedding
84	The United Says anyway relented during President Bush 's visit to Africa earlier this month .	During President Bush 's trip to Africa earlier this month , however , Washington said it would support the augmentation .	1	The United States finally relented during President Bush 's visit to Africa earlier this month .	During President Bush 's trip to Africa earlier this month , however , Washington said it would support the increase .	0	1	embedding
85	Myanmar 's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital , her personal physician said .	Myanmar 's pro-democracy leader Aung San Suu Kyi will be upheld under house apprehending following her release from a hospital where she underwent surgery , her personal physician said Friday .	0	Myanmar 's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital , her personal physician said .	Myanmar 's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery , her personal physician said Friday .	1	0	embedding
86	In an unusual move , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages that critics contend could disrupt millions of Web sites .	In an unusual move that critics contend could disrupt millions of Web sites , the U.S. Patent and Trademark Office is revoir a patent afflicts Internet hosting .	0	In an unusual move , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages that critics contend could disrupt millions of Web sites .	In an unusual move that critics contend could disrupt millions of Web sites , the U.S. Patent and Trademark Office is reconsidering a patent affecting Internet pages .	1	0	embedding
87	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products not sold in the United States .	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which poses chocolate mercantile unknown to the American market .	0	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products not sold in the United States .	Barry Callebaut will be able to use Brach 's retail network to sell products made from its German subsidiary Stollwerck , which makes chocolate products unknown to the American market .	1	0	embedding
88	"He said : "" Orn the first tiempo there is an easy and affordable way of making this treasure trove of BBC content available to all . """	""" For the first time , there is an easy and affordable way of making this treasure trove of BBC content available to all , "" Dyke said ."	0	"He said : "" For the first time there is an easy and affordable way of making this treasure trove of BBC content available to all . """	""" For the first time , there is an easy and affordable way of making this treasure trove of BBC content available to all , "" Dyke said ."	1	0	embedding
89	"Three such vigilante-style attacks oblige the burglar organizer , who identified himself only as "" Eleonora [ 67 ] , "" to enlarge the contest until 7 p.m. EST Sunday ."	"Three such vigilante-style attacks forced the hacker organiser , who identified himself only as "" Eleonora67 ] , "" to extend the moot until 8am ( AEST ) today ."	0	"Three such vigilante-style attacks forced the hacker organizer , who identified himself only as "" Eleonora [ 67 ] , "" to extend the contest until 7 p.m. EST Sunday ."	"Three such vigilante-style attacks forced the hacker organiser , who identified himself only as "" Eleonora67 ] , "" to extend the contest until 8am ( AEST ) today ."	1	0	embedding
